# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
WriteAction.executionsCount,1692778003483000000,1692778022948000000,29
FlushQueue.queueSizeMax,1692778003483000000,1692778022948000000,0
FlushQueue.waitingTimeMaxNs,1692778003483000000,1692778022948000000,0
FlushQueue.queueSizeAvg,1692778003483000000,1692778022948000000,0.0
Indexes.stubs.lookupDurationMaxMs,1692778003483000000,1692778022948000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1692778003483000000,1692778022948000000,0.0
Indexes.allKeys.lookups,1692778003483000000,1692778022948000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1692778003483000000,1692778022948000000,0.0
IndexesFlusher.totalFlushingTimeUs,1692778003483000000,1692778022948000000,92640
VFSFlusher.totalFlushesRetried,1692778003483000000,1692778022948000000,0
VFSFlusher.totalFlushes,1692778003483000000,1692778022948000000,6
Indexes.stubs.lookups,1692778003483000000,1692778022948000000,0.0
Indexes.entries.lookups,1692778003483000000,1692778022948000000,0.0
Indexes.entries.lookupDurationMaxMs,1692778003483000000,1692778022948000000,0.0
Indexes.entries.lookupDuration90PMs,1692778003483000000,1692778022948000000,0.0
IndexesFlusher.totalFlushesRetried,1692778003483000000,1692778022948000000,0
IndexesFlusher.totalFlushes,1692778003483000000,1692778022948000000,18
IndexesFlusher.totalContentionQuotaSpent,1692778003483000000,1692778022948000000,0
VFSFlusher.totalContentionQuotaSpent,1692778003483000000,1692778022948000000,0
Indexes.stubs.lookupDurationAvgMs,1692778003483000000,1692778022948000000,0.0
Indexes.entries.lookupDurationAvgMs,1692778003483000000,1692778022948000000,0.0
Indexes.stubs.lookupDuration90PMs,1692778003483000000,1692778022948000000,0.0
VFSFlusher.totalFlushingTimeUs,1692778003483000000,1692778022948000000,168689
Indexes.allKeys.lookupDuration90PMs,1692778003483000000,1692778022948000000,0.0
workspaceModel.initializing.ms,1692778003483000000,1692778022948000000,18
workspaceModel.updates.ms,1692778003483000000,1692778022948000000,2445
workspaceModel.check.recursive.update.ms,1692778003483000000,1692778022948000000,0
workspaceModel.updates.precise.ms,1692778003483000000,1692778022948000000,1299
workspaceModel.updates.count,1692778003483000000,1692778022948000000,2
workspaceModel.pre.handlers.ms,1692778003483000000,1692778022948000000,282
